sentence,best_code
불을 켜줘,"[{'name': 'TurnOnLight', 'cron': '', 'period': -1, 'code': '(#Light).switch_on()'}]"
거실 조명을 켜줘,"[{'name': '거실조명켜기', 'cron': '', 'period': -1, 'code': '(#Light #거실).switch_on()'}]"
Set the air conditioner temperature to 18 degrees.,"[{'name': '에어컨온도18도설정', 'cron': '', 'period': -1, 'code': '(#AirConditioner).airConditionerMode_setTemperature(18.0)'}]"
Set the air conditioner temperature to 18 degrees.,"[{'name': '에어컨온도18도설정', 'cron': '', 'period': -1, 'code': '(#AirConditioner).airConditionerMode_setTemperature(18)'}]"
에어컨 온도를 18도로 설정,"[{'name': '에어컨온도18도설정', 'cron': '', 'period': -1, 'code': '(#AirConditioner).airConditionerMode_setTemperature(18)'}]"
모든 조명 장치를 꺼준다,"[{'name': '모든조명꺼기', 'cron': '', 'period': -1, 'code': 'all(#Light).switch_off()'}]"
Change all the light colors to white,"[{'name': '모든조명하얀색변경', 'cron': '', 'period': -1, 'code': 'all(#Light).colorControl_setColor(""255|255|255"")'}]"
불을켜줘.,"[{'name': '불켜기', 'cron': '', 'period': -1, 'code': '(#Light).switch_on()'}]"
불을켜줘.,"[{'name': '불켜기', 'cron': '', 'period': -1, 'code': '(#Light).switch_on()'}]"
에어컨을 난방 모드로 설정해 주세요.,"[{'name': '에어컨난방설정', 'cron': '', 'period': -1, 'code': '(#AirConditioner).airConditionerMode_setAirConditionerMode(""heat"")'}]"
Turn on the living room light,"[{'name': 'TurnOnLivingRoomLight', 'cron': '', 'period': -1, 'code': '(#Light).switch_on()'}]"
에어컨 세기를 가장 세게 설정,"[{'name': '에어컨최강세기설정', 'cron': '', 'period': -1, 'code': '(#AirConditioner).switch_on()\n(#AirConditioner).airConditionerMode_setAirConditionerMode(""cool"")\n(#AirConditioner).airConditionerMode_setTemperature(16.0)'}]"
Set the air conditioner temperature to 15 degrees Celsius.,"[{'name': '에어컨온도설정', 'cron': '', 'period': -1, 'code': '(#AirConditioner).airConditionerMode_setTemperature(15.0)'}]"
방 안의 전등을 꺼 주세요.,"[{'name': '방안전등꺼기', 'cron': '', 'period': -1, 'code': 'all(#Light #방).switch_off()'}]"
방 불을 켜줘,"[{'name': '방불켜기', 'cron': '', 'period': -1, 'code': '(#Light #Room).switch_on()'}]"
SF의 에어컨 온도를 14.91도로 설정해줘,"[{'name': 'SF에어컨온도설정', 'cron': '', 'period': -1, 'code': '(#SF #AirConditioner).airConditionerMode_setTemperature(14.91)'}]"
Set my room's smart thermostat to 15 degrees Celsius.,"[{'name': '내방온도15도설정', 'cron': '', 'period': -1, 'code': '(#AirConditioner #Room).airConditionerMode_setTemperature(15)'}]"
Reattempt to set my room's smart thermostat to 15 degrees Celsius.,"[{'name': '내방온도15도재설정', 'cron': '', 'period': -1, 'code': '(#AirConditioner #myRoom).airConditionerMode_setTemperature(15)'}]"
"Set the user's room temperature to approximately 14.9 degrees Celsius, which is the current temperature in San Francisco.","[{'name': '사용자방온도샌프란시스코동기화', 'cron': '', 'period': -1, 'code': 'temp = (#WeatherProvider).weatherProvider_temperatureWeather\nadjustedTemp = 14.9\n(#AirConditioner).airConditionerMode_setTemperature(adjustedTemp)'}]"
